# Equinox Logger release notes history
# Format: YYYY-MM-DD HH:MM:SS +ZZZZ | vMAJOR.MINOR.PATCH | commit message

2022-10-26 20:48:07 +0200 | vunknown | Initial commit
2022-10-26 21:00:56 +0200 | vunknown | Setup enviroment #1
2022-10-26 21:53:30 +0200 | vunknown | CMakeLists.txt files started
2022-10-27 21:42:12 +0200 | vunknown | CMakeLists.txt modified and implementation started
2022-12-17 21:18:07 +0100 | vunknown | Set logger interface
2022-12-17 23:02:10 +0100 | vunknown | GetLoggerEngineInstance() implemented
2022-12-19 18:23:11 +0100 | vunknown | Set LoggerManager as static instance
2022-12-20 10:21:41 +0100 | vunknown | Merge pull request #1 from jwolak/development
2023-01-03 11:46:22 +0100 | vunknown | CMakeLists.txt for unit tests added
2023-01-10 22:16:54 +0100 | vunknown | Variadic template skeleton introduced to API
2023-01-13 21:59:38 +0100 | vunknown | Logger interface defined
2023-01-13 23:01:59 +0100 | vunknown | Examples set up. Perfect forwarding added
2023-01-13 23:32:29 +0100 | vunknown | Fixed problems with cmake warnings and sub dir build order
2023-01-14 19:33:37 +0100 | vunknown | Console and File logger classes created
2023-01-14 19:53:11 +0100 | vunknown | TimestampProducer class created
2023-01-14 20:05:31 +0100 | vunknown | TimestampProducer class injected to console and file logs producers
2023-01-18 16:28:45 +0100 | vunknown | Interface final interface created
2023-01-18 18:06:25 +0100 | vunknown | File and console loging impl
2023-01-28 16:50:18 +0100 | vunknown | setBacktrace removed
2023-01-28 17:06:55 +0100 | vunknown | Timestamp in us added
2023-01-28 18:42:30 +0100 | vunknown | LogsProducerTests implemented
2023-02-03 18:29:53 +0100 | vunknown | Refatored and reduced. Bug with thread access fixed
2023-02-03 18:57:17 +0100 | vunknown | Multiple threads test added
2023-02-03 19:01:26 +0100 | vunknown | Merge pull request #2 from jwolak/development
2023-02-03 19:37:57 +0100 | vunknown | Setup function added
2023-02-03 19:40:31 +0100 | vunknown | Merge pull request #3 from jwolak/development
2023-02-04 18:46:56 +0100 | vunknown | Update README.md
2023-02-08 20:29:32 +0100 | vunknown | Prefixes moved to log()
2023-02-08 21:40:04 +0100 | vunknown | Install lib oprion #1
2023-02-08 22:26:18 +0100 | vunknown | All headers added
2023-02-09 18:55:55 +0100 | vunknown | Merge pull request #4 from jwolak/development
2023-02-13 19:45:22 +0100 | vunknown | Fixed multiple definition of functions
2023-02-13 19:46:08 +0100 | vunknown | Merge pull request #5 from jwolak/development
2023-03-30 20:50:36 +0200 | vunknown | First version
2023-03-31 10:54:55 +0200 | vunknown | Build fixed
2023-03-31 11:01:28 +0200 | vunknown | Implementation hidden
2023-03-31 12:47:45 +0200 | vunknown | EquinoxLoggerEngineImpl skeleton
2023-03-31 13:16:37 +0200 | vunknown | Console logging implemented
2023-03-31 14:19:07 +0200 | vunknown | File logging implemented
2023-03-31 15:30:55 +0200 | vunknown | File support implemented
2023-03-31 15:43:18 +0200 | vunknown | Test added. License changed
2023-03-31 15:59:48 +0200 | vunknown | License updated
2023-04-03 12:14:08 +0200 | vunknown | cosnt ref for stings
2023-04-03 12:52:31 +0200 | vunknown | Doxygen descriptions added. README updated
2023-04-03 15:45:30 +0200 | vunknown | Example output
2023-04-03 15:46:41 +0200 | vunknown | Example output #2
2023-08-14 20:37:18 +0200 | vunknown | __FILENAME__ macro added
2023-08-14 20:43:55 +0200 | vunknown | Merge pull request #7 from jwolak/development
2026-02-09 13:23:47 +0100 | vunknown | Add support for log file rotation
2026-02-09 13:26:01 +0100 | vunknown | Merge pull request #8 from jwolak/add_log_files_rotation_fix_the_github_issue
2026-02-09 13:29:19 +0100 | vunknown | Reorder License section in README.md for clarity
2026-02-12 16:53:54 +0100 | vunknown | Critical thread safety fixed
2026-02-12 16:55:35 +0100 | vunknown | Typo logMesaage fixed
2026-02-12 17:03:09 +0100 | vunknown | Forwarding fixed
2026-02-12 18:03:59 +0100 | vunknown | Queue the first implementation
2026-02-12 18:44:03 +0100 | vunknown | AsyncLogQueueEngine implemented and used
2026-02-12 21:06:12 +0100 | vunknown | Fix double snprints use
2026-02-12 21:23:50 +0100 | vunknown | Exceptions handling fixes
2026-02-12 21:41:57 +0100 | vunknown | Error statuses added
2026-02-12 21:42:41 +0100 | vunknown | Fix formatting in setup method parameters for better readability
2026-02-12 21:48:33 +0100 | vunknown | Refactor logger initialization to remove unused logsOutputSink member variable
2026-02-12 22:02:18 +0100 | vunknown | Refactor logging mechanisms to use thread-local buffers and remove unused member variables
